SDSS_J              R.A.        Dec.          z     u_mag   sig_u   g_mag   sig_g   r_mag   sig_r   i_mag   sig_i   z_mag   sig_z   Radio   X-ray   J_mag   sig_J   H_mag   sig_H   K_mag   sig_K   M_i
000422.29-090219.4  1.092912    -9.038725   1.8588  18.456  0.032   18.424  0.022   18.462  0.016   18.218  0.020   18.063  0.039   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.049
000424.16-085048.0  1.100698    -8.846676   2.4329  19.021  0.044   18.626  0.018   18.617  0.018   18.560  0.018   18.342  0.038   0.000   -9.000  17.070  0.182   16.696  0.279   16.135  0.328   -27.313
000431.05-100913.8  1.129379    -10.153834  0.4521  19.812  0.048   19.089  0.028   18.875  0.023   18.605  0.027   18.329  0.038   0.000   -1.551  0.000   0.000   0.000   0.000   0.000   0.000   -23.270
000433.93-004844.7  1.141382    -0.812432   1.2946  20.617  0.087   20.030  0.040   19.328  0.022   19.052  0.025   19.087  0.060   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.364
000434.01-100452.4  1.141733    -10.081237  1.0197  18.648  0.026   18.443  0.021   18.219  0.016   18.369  0.022   18.351  0.038   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.476
000435.75-011318.6  1.148969    -1.221839   0.5074  19.094  0.029   18.856  0.024   18.892  0.019   18.697  0.022   18.643  0.048   0.000   -9.000  17.244  0.211   16.397  0.236   15.561  0.195   -23.442
000437.23+151028.3  1.155132    15.174555   3.1992  24.884  1.013   21.282  0.038   20.387  0.029   20.279  0.037   19.863  0.113   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.238
000442.18+000023.3  1.175791    0.006482    1.0077  19.544  0.041   19.265  0.030   18.958  0.023   19.100  0.025   19.142  0.068   14.868  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.719
000445.71+002245.0  1.190488    0.379172    0.4966  19.905  0.045   19.451  0.020   19.417  0.019   19.212  0.024   19.040  0.052   0.000   -9.000  16.914  0.100   16.555  0.100   15.140  0.161   -22.920
000447.79-104855.2  1.199154    -10.815345  0.8845  19.542  0.037   19.046  0.054   18.983  0.018   19.035  0.018   18.937  0.052   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.470
000448.40-100153.5  1.201683    -10.031532  0.8884  19.693  0.043   19.181  0.023   19.137  0.019   19.229  0.026   19.028  0.060   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.283
000454.57-104230.1  1.227407    -10.708366  1.1279  19.231  0.033   18.771  0.054   18.413  0.016   18.442  0.014   18.315  0.037   0.000   -9.000  16.873  0.130   16.751  0.300   15.636  0.100   -25.651
000455.44-110637.9  1.231028    -11.110543  1.1183  19.129  0.025   18.882  0.022   18.501  0.021   18.586  0.019   18.529  0.036   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.478
000459.58+160225.0  1.248283    16.040291   1.1480  19.541  0.034   19.321  0.024   19.097  0.018   19.071  0.022   19.030  0.055   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.073
000500.42-003348.2  1.251764    -0.563412   2.1733  19.188  0.041   18.936  0.032   18.744  0.023   18.590  0.024   18.353  0.031   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.035
000507.05-101008.7  1.279411    -10.169086  1.2954  19.215  0.033   19.323  0.023   18.897  0.018   18.879  0.024   18.937  0.057   11.611  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.544
000510.83-092534.9  1.295147    -9.426366   1.8665  19.447  0.031   19.589  0.025   19.664  0.035   19.125  0.023   19.107  0.055   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.159
000510.88-091400.0  1.295341    -9.233357   1.5438  19.634  0.044   19.308  0.026   19.115  0.027   18.922  0.023   18.907  0.051   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.927
000519.39+144422.6  1.330825    14.739613   0.8582  18.476  0.023   18.134  0.016   17.903  0.015   17.875  0.018   17.683  0.028   -1.000  -9.000  16.701  0.170   15.999  0.214   15.706  0.221   -25.619
000524.82-084502.8  1.353457    -8.750801   1.0674  18.919  0.031   18.807  0.019   18.620  0.021   18.681  0.024   18.674  0.064   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.273
000527.52-000556.2  1.364696    -0.098956   0.6125  20.098  0.046   19.722  0.025   19.784  0.031   19.485  0.023   19.541  0.069   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.121
000531.06+000951.0  1.379439    0.164168    0.9406  19.662  0.041   19.242  0.022   18.895  0.018   18.845  0.030   18.778  0.054   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.796
000536.38+135949.4  1.401623    13.997075   3.6864  24.884  0.969   20.916  0.039   19.758  0.027   19.609  0.030   19.378  0.066   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.377
000545.61+153833.8  1.440078    15.642739   0.4413  17.866  0.028   17.658  0.023   17.674  0.014   17.566  0.019   17.412  0.020   -1.000  -9.000  16.448  0.114   15.968  0.136   14.720  0.112   -24.343
