SDSS_J              R.A.        Dec.          z     u_mag   sig_u   g_mag   sig_g   r_mag   sig_r   i_mag   sig_i   z_mag   sig_z   Radio   X-ray   J_mag   sig_J   H_mag   sig_H   K_mag   sig_K   M_i
102658.72+523503.5  156.744683  52.584326   1.7413  19.109  0.027   18.957  0.034   19.024  0.017   18.833  0.032   18.890  0.043   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.232
102659.78+641553.8  156.749097  64.264956   1.9809  19.370  0.032   19.414  0.019   19.322  0.038   19.037  0.021   18.958  0.045   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.322
102700.24-010424.8  156.751013  -1.073577   0.3439  18.129  0.023   18.116  0.024   18.013  0.019   18.077  0.017   17.432  0.020   0.000   -9.000  16.589  0.145   15.697  0.151   14.963  0.172   -23.175
102701.04+642837.1  156.754375  64.476990   0.6159  19.506  0.044   18.938  0.025   18.881  0.015   18.708  0.025   18.850  0.053   -1.000  -1.352  0.000   0.000   0.000   0.000   0.000   0.000   -23.862
102701.76+655051.0  156.757341  65.847521   1.3424  18.477  0.027   18.446  0.033   18.373  0.021   18.416  0.016   18.543  0.045   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.048
102703.83+603934.7  156.765963  60.659651   1.6023  20.514  0.076   20.216  0.025   20.226  0.032   19.936  0.034   19.912  0.127   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.925
102703.95+600047.2  156.766479  60.013111   1.6662  20.588  0.066   20.465  0.036   20.559  0.042   20.129  0.046   20.324  0.156   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.821
102706.26+060959.1  156.776084  6.166441    1.9652  20.013  0.057   20.031  0.031   19.955  0.031   19.728  0.025   19.483  0.065   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.636
102707.44+602633.5  156.781016  60.442645   0.3703  19.256  0.033   19.207  0.027   19.010  0.024   18.848  0.027   18.243  0.033   0.000   -1.199  16.817  0.196   15.846  0.224   15.516  0.180   -22.487
102707.91+064750.7  156.782995  6.797426    1.9380  18.180  0.018   18.184  0.015   18.133  0.014   17.894  0.017   17.752  0.019   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.447
102708.90+562806.7  156.787101  56.468541   2.5071  19.214  0.025   18.721  0.019   18.643  0.015   18.680  0.017   18.465  0.033   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.211
102709.58+052550.6  156.789929  5.430723    1.9505  19.124  0.031   19.232  0.022   19.168  0.018   18.851  0.020   18.744  0.038   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.500
102711.16+091555.5  156.796519  9.265425    0.6234  18.623  0.021   18.331  0.033   18.512  0.024   18.453  0.023   18.527  0.030   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.203
102713.08+480313.5  156.804500  48.053767   1.2860  19.171  0.037   19.266  0.021   19.029  0.019   18.984  0.025   19.079  0.046   10.473  -1.777  0.000   0.000   0.000   0.000   0.000   0.000   -25.361
102713.65+611103.0  156.806897  61.184179   0.6003  20.169  0.050   19.831  0.032   19.963  0.027   19.766  0.032   19.915  0.103   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -22.736
102714.16+060727.1  156.809011  6.124207    0.2694  18.257  0.037   18.345  0.027   18.148  0.025   18.040  0.018   17.525  0.040   0.000   -0.947  16.003  0.111   15.579  0.136   14.558  0.124   -22.560
102716.41+024631.6  156.818410  2.775460    1.9440  19.360  0.030   19.286  0.021   19.236  0.020   19.049  0.021   18.886  0.048   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.330
102719.12+584114.3  156.829694  58.687321   2.0240  18.378  0.019   18.343  0.027   18.281  0.016   18.208  0.016   18.020  0.034   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.194
102719.44+070705.6  156.831030  7.118249    2.1102  17.587  0.014   17.331  0.019   17.244  0.014   17.215  0.016   17.060  0.019   0.000   -9.000  16.367  0.119   15.734  0.141   15.003  0.150   -28.317
102720.04+000051.5  156.833502  0.014315    0.9518  19.464  0.032   19.164  0.020   18.924  0.014   18.879  0.018   18.660  0.046   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.840
102720.64+553525.2  156.836007  55.590349   3.0274  20.460  0.058   19.093  0.017   18.864  0.016   18.709  0.019   18.691  0.034   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.599
102723.07+063620.5  156.846148  6.605699    1.6620  19.456  0.039   19.311  0.024   19.293  0.023   19.093  0.021   19.137  0.057   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.889
102723.67+073613.1  156.848628  7.603655    0.9791  19.620  0.033   19.409  0.017   19.207  0.024   19.157  0.022   19.043  0.039   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.574
102724.01-011300.8  156.850067  -1.216892   1.2628  18.131  0.023   18.120  0.024   17.769  0.019   17.703  0.016   17.705  0.024   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.690
102724.43+031436.2  156.851823  3.243400    1.3069  19.349  0.032   19.336  0.030   19.001  0.018   18.936  0.022   18.891  0.057   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.496
102724.86+051634.1  156.853611  5.276161    1.2758  18.772  0.029   18.734  0.021   18.548  0.016   18.627  0.019   18.724  0.038   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.734
102725.08+014819.0  156.854541  1.805287    1.2199  19.469  0.042   19.383  0.032   19.214  0.021   19.180  0.020   19.472  0.084   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.107
102725.91+060505.8  156.857991  6.084968    1.2184  19.257  0.043   19.156  0.028   18.753  0.026   18.710  0.019   18.764  0.049   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.533
102725.96+522636.9  156.858201  52.443585   1.3395  20.761  0.076   20.749  0.037   20.375  0.036   20.264  0.049   20.417  0.119   16.357  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.187
102729.27+591303.0  156.871993  59.217517   1.7196  19.662  0.034   19.520  0.022   19.518  0.023   19.341  0.027   19.506  0.088   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.686
102731.46+034234.3  156.881098  3.709532    0.2462  19.074  0.024   18.694  0.014   18.319  0.018   18.270  0.019   18.143  0.023   0.000   -9.000  16.917  0.176   16.227  0.202   15.192  0.179   -22.153
102731.49+541809.8  156.881250  54.302724   1.5876  18.265  0.021   17.777  0.018   17.540  0.018   17.297  0.017   17.321  0.015   0.000   -9.000  16.553  0.125   15.722  0.108   15.705  0.174   -27.575
102731.91+544053.2  156.882982  54.681453   1.3002  19.108  0.026   19.006  0.018   18.575  0.016   18.472  0.013   18.463  0.034   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.901
102732.96+501101.8  156.887344  50.183852   1.8347  19.192  0.052   19.235  0.025   19.301  0.067   19.073  0.024   19.175  0.055   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.110
102733.34+470828.6  156.888927  47.141282   0.3610  18.222  0.026   18.070  0.020   18.029  0.022   18.112  0.020   17.631  0.019   0.000   -9.000  17.048  0.196   16.041  0.177   15.077  0.149   -23.164
102733.95+600936.2  156.891474  60.160069   1.2768  20.160  0.047   20.102  0.029   19.595  0.027   19.550  0.025   19.640  0.093   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.774
102734.61+073513.9  156.894209  7.587209    0.6334  17.916  0.019   17.593  0.014   17.630  0.022   17.620  0.017   17.717  0.017   0.000   -9.000  16.541  0.154   16.020  0.184   15.340  0.100   -25.053
102736.40+004529.3  156.901673  0.758154    0.9134  19.299  0.026   19.164  0.019   19.009  0.017   19.076  0.019   18.936  0.038   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.559
102737.64+555631.1  156.906840  55.941981   1.2109  18.463  0.018   18.395  0.033   18.201  0.022   18.154  0.017   18.239  0.029   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.040
102737.91+480606.0  156.907988  48.101676   3.8431  25.132  0.988   21.277  0.043   20.235  0.031   20.024  0.034   20.208  0.115   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.804
102738.53+605016.5  156.910563  60.837925   0.3315  17.796  0.026   17.590  0.022   17.394  0.022   17.331  0.020   16.974  0.021   14.254  -1.495  16.011  0.098   15.500  0.136   14.759  0.098   -23.734
102738.99+032059.5  156.912499  3.349876    1.1394  19.088  0.025   18.941  0.021   18.709  0.014   18.670  0.018   18.712  0.033   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.442
102739.99+602829.5  156.916652  60.474884   1.8795  19.703  0.044   19.579  0.023   19.543  0.022   19.296  0.025   19.306  0.064   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.937
102741.00+522504.8  156.920840  52.418010   1.3269  19.392  0.044   19.365  0.029   19.040  0.029   19.068  0.038   19.090  0.044   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.361
102741.91+555210.6  156.924658  55.869633   1.5128  18.829  0.041   18.615  0.029   18.636  0.050   18.491  0.032   18.615  0.032   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.231
102742.13+005504.0  156.925543  0.917794    2.1283  19.468  0.036   19.330  0.021   19.219  0.016   19.168  0.023   18.915  0.056   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.440
102742.77+591715.2  156.928231  59.287580   1.6681  19.544  0.032   19.338  0.022   19.333  0.021   19.141  0.026   19.149  0.064   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.815
102743.57+045205.8  156.931544  4.868296    1.8691  19.989  0.038   19.654  0.021   19.314  0.020   19.046  0.018   19.068  0.042   16.115  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.207
102744.98+585941.3  156.937422  58.994829   1.0542  19.056  0.049   18.754  0.023   18.532  0.022   18.626  0.024   18.475  0.037   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.238
102745.39+020328.1  156.939153  2.057813    0.7447  18.559  0.033   18.231  0.016   18.144  0.011   18.309  0.014   18.108  0.031   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.790
102745.83+641656.8  156.940980  64.282471   1.3411  19.592  0.036   19.427  0.019   19.095  0.037   19.170  0.022   19.275  0.058   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.279
102745.84+051558.9  156.941011  5.266367    0.3148  17.577  0.026   17.588  0.020   17.449  0.017   17.531  0.016   16.885  0.022   0.000   -1.269  15.921  0.082   14.852  0.074   13.796  0.045   -23.447
102748.92+651337.4  156.953874  65.227071   0.4449  19.860  0.043   19.767  0.020   19.752  0.032   19.600  0.029   19.507  0.084   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -22.178
102749.22+623305.0  156.955113  62.551392   2.8726  20.737  0.075   19.475  0.018   19.420  0.023   19.492  0.024   19.709  0.111   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.703
102750.58+073315.6  156.960751  7.554345    0.5860  17.770  0.019   17.414  0.021   17.504  0.016   17.418  0.014   17.498  0.017   0.000   -9.000  16.208  0.097   15.762  0.145   14.954  0.141   -25.066
102751.64+020957.0  156.965177  2.165835    1.4214  19.059  0.036   18.984  0.017   18.798  0.013   18.697  0.016   18.662  0.044   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.964
102752.89+622656.5  156.970396  62.449039   2.3985  20.636  0.068   20.293  0.024   20.233  0.033   20.303  0.041   20.209  0.177   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.490
102753.84+003055.3  156.974348  0.515385    1.1282  18.729  0.018   18.583  0.021   18.319  0.014   18.306  0.014   18.381  0.034   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.864
102753.89+661219.6  156.974554  66.205469   2.3749  19.762  0.039   19.144  0.039   19.039  0.020   19.114  0.033   18.934  0.051   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.669
102755.78+592048.1  156.982441  59.346707   1.8155  18.857  0.021   18.816  0.021   18.794  0.019   18.499  0.022   18.573  0.041   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.656
102756.95+533704.3  156.987314  53.617871   1.5119  19.410  0.039   19.082  0.021   19.126  0.033   19.002  0.025   19.120  0.063   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.735
102757.94+065948.4  156.991421  6.996794    1.0851  19.236  0.027   19.045  0.020   18.776  0.017   18.734  0.016   18.723  0.047   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.241
102759.16+540107.9  156.996529  54.018865   1.5995  19.533  0.056   19.219  0.028   18.945  0.039   18.664  0.024   18.648  0.046   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.204
102800.86+622244.6  157.003584  62.379067   1.6428  20.083  0.051   19.728  0.042   19.648  0.024   19.347  0.029   19.366  0.070   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.577
102802.32+592906.6  157.009676  59.485190   0.5349  18.993  0.022   18.784  0.012   18.915  0.024   18.750  0.024   18.817  0.056   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.470
102804.15+074051.4  157.017309  7.680950    1.3697  18.031  0.020   17.903  0.021   17.583  0.016   17.475  0.016   17.485  0.021   0.000   -9.000  16.448  0.145   15.632  0.162   15.367  0.201   -27.062
102805.28+512124.6  157.022003  51.356836   1.6676  19.727  0.037   19.404  0.018   19.144  0.014   18.802  0.015   18.649  0.037   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.166
102806.06+502126.1  157.025281  50.357259   3.4756  21.403  0.136   19.994  0.023   19.304  0.025   19.240  0.030   19.067  0.047   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.373
102806.74+050526.8  157.028120  5.090798    1.2779  19.491  0.030   19.389  0.020   19.120  0.017   19.069  0.016   19.143  0.038   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.284
102808.04+602803.6  157.033535  60.467693   1.2716  19.790  0.045   19.639  0.023   19.355  0.021   19.314  0.025   19.241  0.061   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.003
102809.98+085019.0  157.041593  8.838634    1.0823  18.594  0.028   18.376  0.015   18.078  0.024   18.142  0.018   18.171  0.029   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.837
102812.92+613423.3  157.053844  61.573144   1.7458  20.604  0.074   20.453  0.027   20.487  0.039   20.158  0.048   20.354  0.155   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.903
102814.04+645248.5  157.058542  64.880166   0.8006  20.541  0.064   20.232  0.038   20.230  0.028   20.231  0.039   19.987  0.124   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -22.977
102814.41+044018.6  157.060057  4.671853    1.5431  19.423  0.027   19.239  0.023   19.169  0.014   18.989  0.016   19.067  0.046   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.822
102814.63+021317.3  157.060984  2.221497    1.2578  19.588  0.035   19.586  0.036   19.254  0.020   19.262  0.027   19.361  0.081   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.105
102815.98+013006.6  157.066584  1.501839    1.0563  18.623  0.022   18.336  0.028   18.080  0.016   18.112  0.018   18.113  0.028   0.000   -1.478  0.000   0.000   0.000   0.000   0.000   0.000   -25.839
102816.67+651922.2  157.069495  65.322851   0.8571  19.698  0.041   19.582  0.025   19.518  0.033   19.514  0.025   19.388  0.075   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -23.859
102817.24+050403.1  157.071849  5.067537    2.9367  21.472  0.104   19.816  0.022   19.508  0.019   19.229  0.017   19.203  0.040   12.310  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.037
102820.33+561204.6  157.084740  56.201283   2.0918  18.080  0.018   17.979  0.021   17.837  0.025   17.698  0.017   17.487  0.020   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.776
102820.75+022613.1  157.086497  2.436988    0.4347  19.163  0.026   18.771  0.012   18.339  0.025   18.186  0.016   18.018  0.031   0.000   -9.000  16.877  0.180   16.248  0.221   15.494  0.231   -23.608
102821.15+615337.3  157.088148  61.893703   1.6532  19.069  0.028   18.985  0.030   19.016  0.022   18.798  0.019   18.769  0.043   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.135
102821.76+033318.7  157.090706  3.555210    1.7136  20.510  0.052   20.242  0.026   19.748  0.021   19.237  0.018   18.940  0.035   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.847
102822.71+070605.9  157.094666  7.101665    2.8725  21.563  0.115   19.643  0.021   19.368  0.018   19.398  0.026   19.448  0.052   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.838
102822.74+602618.8  157.094751  60.438565   1.8250  20.003  0.050   19.967  0.025   19.975  0.026   19.682  0.031   19.658  0.085   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.484
102824.06+065823.9  157.100288  6.973322    1.1924  19.586  0.037   19.235  0.019   18.956  0.017   18.906  0.020   18.850  0.046   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.296
102824.84+580009.2  157.103541  58.002580   1.7547  19.509  0.033   18.996  0.043   18.945  0.017   18.811  0.026   18.826  0.048   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.273
102825.27+051958.4  157.105317  5.332902    1.7187  19.344  0.034   19.289  0.033   19.326  0.021   19.018  0.021   19.086  0.046   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.028
102825.52+642623.2  157.106362  64.439797   0.3023  20.244  0.054   19.732  0.032   19.089  0.020   18.808  0.019   18.333  0.037   -1.000  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -22.041
102825.52+562110.2  157.106374  56.352839   1.7546  19.164  0.027   19.114  0.023   19.115  0.022   18.883  0.021   18.813  0.035   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.190
102826.49+043558.6  157.110400  4.599627    1.3534  19.548  0.036   19.419  0.025   19.088  0.019   19.016  0.019   19.113  0.055   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.489
102827.02+044833.9  157.112608  4.809428    1.9075  21.236  0.093   20.631  0.030   19.798  0.018   19.125  0.017   18.901  0.041   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.178
102827.03+520049.5  157.112634  52.013756   1.4206  19.895  0.048   19.381  0.019   19.124  0.024   19.055  0.023   18.907  0.043   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.541
102828.06+634008.9  157.116935  63.669156   1.2349  19.534  0.031   19.418  0.025   19.184  0.023   19.086  0.029   19.040  0.057   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.164
102828.38+043008.1  157.118260  4.502257    1.4565  19.512  0.037   19.111  0.024   18.613  0.018   18.395  0.016   18.353  0.031   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.290
102828.65+601707.2  157.119383  60.285345   1.6723  19.990  0.044   19.956  0.023   20.038  0.031   19.722  0.030   19.939  0.121   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.244
102829.08+523139.2  157.121169  52.527577   1.4510  18.662  0.026   18.510  0.018   18.378  0.024   18.259  0.017   18.267  0.030   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.386
102830.24+065346.0  157.126041  6.896138    1.0662  19.542  0.037   19.109  0.019   18.834  0.017   18.814  0.020   18.788  0.044   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.122
102830.56+060058.4  157.127363  6.016248    0.3129  18.545  0.032   18.639  0.019   18.568  0.018   18.658  0.019   17.998  0.041   0.000   -9.000  16.860  0.187   15.771  0.129   14.828  0.111   -22.302
102830.85+620417.4  157.128583  62.071513   1.3935  18.514  0.017   18.435  0.016   18.298  0.024   18.262  0.015   18.289  0.033   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.270
102832.09-004607.0  157.133719  -0.768634   2.8592  19.443  0.038   18.130  0.020   17.941  0.015   17.839  0.017   17.818  0.025   0.000   -9.000  16.690  0.150   15.809  0.150   15.901  0.100   -28.440
102832.35+640406.2  157.134798  64.068408   1.1732  20.509  0.085   20.158  0.028   19.953  0.033   19.860  0.044   19.729  0.104   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.268
102832.58+042354.1  157.135779  4.398366    1.7250  19.600  0.038   19.388  0.022   19.300  0.015   18.968  0.016   18.978  0.036   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.119
102832.69+465750.0  157.136218  46.963893   2.4979  19.510  0.037   18.926  0.028   18.749  0.020   18.704  0.032   18.533  0.035   12.409  -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.189
102832.78+650247.8  157.136616  65.046613   0.5523  18.186  0.016   17.762  0.063   17.891  0.016   17.794  0.023   17.848  0.030   -1.000  -1.598  16.846  0.159   16.214  0.233   15.295  0.147   -24.510
102833.47+020809.7  157.139466  2.136034    2.0756  19.557  0.035   19.483  0.025   19.451  0.020   19.293  0.024   19.092  0.061   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.258
102834.09+515331.4  157.142053  51.892081   0.7388  18.378  0.030   18.080  0.017   18.155  0.023   18.155  0.021   18.144  0.027   0.000   -9.000  17.048  0.159   16.173  0.178   15.707  0.170   -24.868
102834.65+014310.6  157.144410  1.719631    0.7057  19.307  0.033   18.951  0.017   18.919  0.019   18.935  0.025   18.735  0.046   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.055
102836.41-010439.6  157.151717  -1.077673   0.9485  18.900  0.043   18.700  0.021   18.554  0.016   18.645  0.019   18.624  0.040   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.060
102836.88-004314.3  157.153673  -0.720654   0.2188  18.144  0.023   18.233  0.020   18.045  0.016   17.637  0.018   17.646  0.025   0.000   -9.000  15.897  0.088   15.161  0.107   14.359  0.097   -22.546
102837.01-010027.5  157.154241  -1.007641   1.5322  18.384  0.024   18.217  0.023   18.124  0.014   17.912  0.015   17.889  0.023   10.949  -9.000  16.877  0.184   16.451  0.251   15.816  0.309   -26.939
102837.29+595826.6  157.155381  59.974067   1.5128  19.330  0.031   19.234  0.023   19.062  0.018   18.849  0.018   18.755  0.057   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.878
102838.04+631739.2  157.158511  63.294224   0.8852  19.341  0.037   19.055  0.026   19.075  0.020   19.165  0.023   19.079  0.066   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.289
102838.56+051015.5  157.160686  5.170996    1.2764  19.304  0.025   19.185  0.015   18.960  0.013   18.869  0.017   18.872  0.031   0.000   -1.682  0.000   0.000   0.000   0.000   0.000   0.000   -25.480
102838.66+632049.8  157.161094  63.347192   1.0629  19.281  0.036   19.177  0.026   19.079  0.020   19.205  0.023   19.328  0.063   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.690
102839.92+555440.8  157.166343  55.911360   0.8630  19.194  0.035   19.013  0.023   18.956  0.052   19.001  0.029   18.951  0.040   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.378
102842.59+600114.2  157.177481  60.020635   1.2845  20.133  0.043   20.241  0.035   19.959  0.034   19.976  0.039   19.991  0.113   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.364
102845.51+074819.7  157.189633  7.805477    1.5038  19.909  0.038   19.557  0.025   19.154  0.016   18.938  0.019   18.891  0.042   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.812
102846.09-010203.1  157.192067  -1.034197   3.7438  24.166  0.740   20.975  0.039   19.636  0.019   19.526  0.026   19.525  0.068   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.340
102847.57+530556.5  157.198213  53.099050   2.8078  20.480  0.075   19.459  0.027   19.378  0.028   19.306  0.028   19.054  0.067   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.855
102847.73+053518.1  157.198907  5.588362    1.5494  19.872  0.037   19.673  0.027   19.483  0.021   19.194  0.019   19.170  0.042   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.613
102847.85+575731.5  157.199395  57.958771   1.9108  19.199  0.028   19.200  0.026   19.207  0.019   19.074  0.018   19.080  0.050   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.202
102849.38+562411.0  157.205753  56.403075   0.3812  19.048  0.025   18.787  0.023   18.227  0.021   18.195  0.019   18.040  0.024   0.000   -9.000  16.806  0.158   16.274  0.262   15.652  0.193   -23.205
102850.16+092738.2  157.209027  9.460629    1.9341  19.309  0.027   19.174  0.016   19.250  0.020   19.079  0.021   18.950  0.042   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.287
102850.31+511053.1  157.209662  51.181426   2.4154  21.503  0.168   18.997  0.029   17.962  0.015   17.683  0.016   17.162  0.032   0.000   -9.000  16.402  0.120   15.591  0.116   14.660  0.075   -28.134
102850.92+085947.9  157.212171  8.996639    1.6579  19.464  0.032   19.224  0.024   19.212  0.023   18.989  0.019   18.987  0.055   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.002
102851.54+653309.1  157.214769  65.552555   1.2289  17.966  0.014   17.860  0.020   17.506  0.020   17.454  0.034   17.390  0.031   -1.000  -9.000  16.528  0.112   15.834  0.141   15.306  0.171   -26.792
102852.27+472853.7  157.217794  47.481587   1.7510  18.780  0.029   18.728  0.021   18.697  0.016   18.488  0.020   18.643  0.033   0.000   -1.659  0.000   0.000   0.000   0.000   0.000   0.000   -26.583
102852.52+621048.0  157.218860  62.180017   1.0084  19.186  0.024   18.993  0.017   18.812  0.024   18.897  0.017   18.924  0.052   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.866
102852.96+623855.8  157.220693  62.648851   1.4624  20.490  0.063   20.471  0.023   20.310  0.031   20.107  0.037   19.987  0.131   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.547
102854.15+581248.5  157.225652  58.213476   1.1413  19.861  0.040   19.546  0.023   19.172  0.017   19.095  0.021   19.135  0.067   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -24.971
102854.84+504202.8  157.228535  50.700792   3.9469  24.030  0.930   21.438  0.056   19.604  0.024   19.115  0.021   18.736  0.036   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -27.797
102856.16+475840.0  157.234008  47.977783   1.0547  19.144  0.032   19.028  0.020   18.760  0.022   18.805  0.018   18.786  0.048   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -25.062
102856.50+462456.6  157.235441  46.415732   1.4590  18.860  0.034   18.679  0.015   18.496  0.015   18.275  0.016   18.289  0.023   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.380
102857.07+062906.6  157.237809  6.485182    3.2162  24.195  1.024   20.786  0.033   20.387  0.030   20.257  0.035   20.170  0.107   0.000   -9.000  0.000   0.000   0.000   0.000   0.000   0.000   -26.223
